# SPDX-FileCopyrightText: © 2026 OpenCHAMI a Series of LF Projects, LLC
# SPDX-License-Identifier: MIT
source	start	end	statements	category	classification	rationale
cmd/boot/config/add.go	183.5	184.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/delete.go	32.4	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/delete.go	43.3	44.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/delete.go	86.5	87.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/delete.go	92.5	93.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/get.go	29.5	30.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/get.go	35.5	36.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/get.go	40.5	41.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/get.go	53.5	54.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/list.go	27.5	28.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/list.go	49.5	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	70.5	71.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	76.5	77.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	81.5	82.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	90.6	91.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	94.6	95.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	100.7	101.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/patch.go	104.7	105.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	32.3	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	45.5	46.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	49.5	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	62.5	63.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	66.5	67.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	143.5	144.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/config/set.go	149.5	150.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/add.go	32.3	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/add.go	44.5	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/add.go	48.5	49.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/add.go	65.5	66.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/add.go	186.5	187.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/add.go	192.5	193.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/delete.go	32.4	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/delete.go	43.3	44.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/delete.go	86.5	87.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/delete.go	92.5	93.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/get.go	29.5	30.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/get.go	35.5	36.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/get.go	40.5	41.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/get.go	53.5	54.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/list.go	27.5	28.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/list.go	49.5	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	70.5	71.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	76.5	77.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	81.5	82.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	90.6	91.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	94.6	95.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	100.7	101.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/patch.go	104.7	105.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	32.3	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	45.5	46.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	49.5	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	62.5	63.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	66.5	67.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	140.5	141.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/node/set.go	146.5	147.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/service/status.go	27.5	28.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/service/status.go	33.5	34.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/service/status.go	39.5	40.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/boot/service/status.go	44.5	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	44.5	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	55.5	56.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	63.6	64.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	72.6	73.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	81.6	82.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	95.5	96.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	98.5	99.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	107.6	108.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	110.6	111.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	119.6	120.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	130.6	131.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	141.6	142.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	145.7	146.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	155.6	157.14	3	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/image/set.go	167.7	168.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/add.go	118.5	119.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/delete.go	50.3	51.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/delete.go	59.4	60.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/delete.go	66.4	67.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/delete.go	79.5	80.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/delete.go	147.6	148.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/delete.go	165.5	166.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/get.go	63.3	64.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/get.go	66.3	67.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/get.go	94.5	95.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/set.go	59.4	60.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/set.go	102.4	103.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/set.go	150.5	151.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/update.go	58.4	59.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/update.go	65.4	66.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/params/update.go	147.5	148.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/script/get.go	37.5	38.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/script/get.go	48.5	49.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/script/get.go	68.5	69.25	2	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/script/get.go	70.6	71.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/boot/script/get.go	95.5	96.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/dumpstate/dumpstate.go	30.5	31.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/dumpstate/dumpstate.go	36.5	37.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/dumpstate/dumpstate.go	41.5	42.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/dumpstate/dumpstate.go	47.5	48.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/dumpstate/dumpstate.go	53.5	54.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/dumpstate/dumpstate.go	56.5	57.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/history/history.go	32.5	33.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/history/history.go	43.5	44.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/history/history.go	53.7	54.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/history/history.go	60.7	61.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/history/history.go	76.5	77.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/history/history.go	79.5	80.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	34.5	35.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	45.5	46.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	57.7	58.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	64.7	65.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	69.6	70.20	2	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	71.7	72.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	73.6	73.45	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	85.5	86.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/hosts/get.go	88.5	89.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/service/status.go	37.3	38.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/service/status.go	61.5	62.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/service/status.go	72.5	73.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/service/status.go	93.5	94.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/service/status.go	96.5	97.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/service/version.go	30.5	31.1	1	2	reachable but low-risk	low-risk completion, command wiring, or informational output
cmd/bss/service/version.go	36.5	37.1	1	2	reachable but low-risk	low-risk completion, command wiring, or informational output
cmd/bss/service/version.go	41.5	42.1	1	2	reachable but low-risk	low-risk completion, command wiring, or informational output
cmd/bss/service/version.go	47.5	48.1	1	2	reachable but low-risk	low-risk completion, command wiring, or informational output
cmd/bss/service/version.go	53.5	54.1	1	2	reachable but low-risk	low-risk completion, command wiring, or informational output
cmd/bss/service/version.go	56.5	57.1	1	2	reachable but low-risk	low-risk completion, command wiring, or informational output
cmd/bss/status/status.go	31.5	32.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	37.5	38.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	42.5	43.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	48.5	49.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	50.5	51.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	52.5	53.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	54.5	55.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	59.5	60.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	65.5	66.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/bss/status/status.go	68.5	69.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/get.go	33.5	34.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/get.go	39.5	40.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/get.go	44.5	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/get.go	59.5	60.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/set.go	61.5	62.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/set.go	72.5	73.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/set.go	84.5	84.64	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/set.go	85.6	86.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/defaults/set.go	91.5	92.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/add.go	64.5	65.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/add.go	75.5	76.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/add.go	88.6	89.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/delete.go	38.4	39.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/delete.go	49.3	50.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/delete.go	110.6	111.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/delete.go	120.5	121.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/delete.go	130.6	131.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/delete.go	142.5	143.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	36.3	37.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	44.4	45.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	60.4	61.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	88.5	89.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	134.5	135.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	153.6	154.14	2	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	170.6	171.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	182.7	183.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	186.7	187.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	191.8	192.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	194.7	194.165	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	195.8	196.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	227.5	228.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	254.5	255.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	260.5	261.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	263.5	264.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	292.5	293.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	305.5	306.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	311.5	312.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/get.go	314.5	315.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	47.5	48.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	58.5	59.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	64.5	65.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	70.5	70.93	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	83.5	84.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	89.5	89.102	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	94.5	95.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	119.5	120.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	123.5	124.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/render.go	128.5	129.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/set.go	64.5	65.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/set.go	75.5	76.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/set.go	87.5	87.65	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/group/set.go	88.6	89.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	64.5	65.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	75.5	76.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	81.5	82.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	91.7	92.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	105.6	106.14	2	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	115.7	116.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	119.7	120.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	124.8	125.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	128.8	129.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	158.5	159.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	169.5	170.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	175.5	176.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	199.6	200.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	208.5	209.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	214.5	215.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	217.5	218.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	244.5	245.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	255.5	256.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	261.5	262.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	271.7	272.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	290.7	291.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	294.7	295.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	299.8	300.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	303.8	304.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	333.5	334.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	344.5	345.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	350.5	351.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	356.5	356.17	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	357.6	357.52	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	358.7	359.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	360.7	361.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	362.6	362.27	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	366.5	367.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	379.7	380.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	383.7	384.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	388.8	389.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/get.go	392.8	393.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/set.go	68.5	69.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/set.go	79.5	80.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/set.go	92.6	93.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
cmd/cloud_init/node/set.go	99.5	100.1	1	1	reachable and behaviorally important	reachable command, configuration, or client behavior
